x轴,y轴,z轴
0.0,9.0,2.0
0.25,9.0,2.0
0.5,9.5,3.0
0.75,9.0,4.0
0.75,7.25,4.75
0.5,5.5,6.0
0.5,4.75,5.75
0.75,5.5,4.75
1.0,7.25,3.5
1.25,9.0,1.75
1.25,9.5,0.75
1.0,9.5,1.25
0.75,8.75,2.5
0.5,7.75,4.0
0.25,7.0,5.0
0.0,6.5,5.0
0.25,7.0,4.25
0.5,8.0,2.75
0.75,8.5,1.75
1.0,9.0,1.25
0.75,9.5,1.75
0.5,9.0,3.25
0.25,7.25,4.5
0.0,5.75,5.75
0.0,5.0,6.5
0.0,5.25,6.0
0.0,8.5,6.0
0.0,9.75,4.75
0.25,10.25,3.5
0.25,10.5,3.5
0.25,9.0,3.5
0.25,7.75,4.5
0.0,6.25,5.75
0.0,5.5,6.5
0.0,5.25,6.5
0.25,6.25,5.75
0.5,7.75,4.75
0.75,8.5,3.25
1.0,8.75,2.0
1.0,9.0,1.5
0.75,9.25,1.75
0.75,9.0,2.75
0.5,7.75,3.75
0.25,6.75,5.0
0.25,6.25,5.5
0.0,6.5,5.0
0.0,8.25,6.0
0.25,9.25,5.0
0.25,9.5,4.0
0.5,9.5,3.75
0.5,9.0,2.5
0.25,8.75,3.25
0.25,7.5,4.25
0.0,6.5,5.0
0.0,6.25,5.25
0.25,6.25,4.5
0.5,7.5,3.5
0.75,8.5,2.5
0.75,8.75,2.0
0.75,9.0,2.75
0.5,8.25,3.75
0.25,7.0,5.25
0.25,6.0,6.25
0.0,5.5,6.5
0.25,6.0,6.0
0.5,7.25,5.0
0.75,8.25,3.75
1.0,8.75,2.75
1.0,9.0,2.5
1.0,9.0,3.25
0.75,8.0,4.25
0.5,6.5,5.5
0.25,5.5,6.5
0.25,5.25,6.5
0.5,6.0,6.0
0.75,7.5,5.0
1.0,8.5,3.75
1.0,8.75,3.0
1.0,9.0,3.25
0.75,8.25,3.75
0.5,7.0,5.0
0.25,6.0,5.75
0.0,5.75,6.25
0.25,6.25,5.75
0.5,7.75,4.75
0.75,8.75,3.5
1.0,9.0,2.5
1.0,9.25,3.0
0.75,8.0,3.75
0.5,6.75,5.25
0.25,6.0,6.25
0.25,5.5,6.0
0.5,6.25,5.25
0.75,7.5,4.0
1.0,8.25,2.5
1.0,8.75,2.25
1.0,9.0,3.0
0.75,8.0,3.75
0.5,7.0,5.25
0.25,6.25,6.0
0.25,6.0,5.75
0.5,7.0,5.0
0.75,8.0,4.0
1.0,8.75,2.75
1.0,9.0,2.25
1.0,9.0,3.25
0.75,8.0,4.0
0.5,6.5,5.5
0.25,5.75,6.0
0.0,5.75,5.75
0.0,6.5,4.75
0.25,8.25,3.25
0.25,9.0,2.25
0.5,9.0,1.0
1.0,9.25,0.75
1.0,9.0,0.5
1.25,9.0,0.25
